"Year","Age","Height","Weight","Sprint_40yd","Vertical_Jump","Bench_Press_Reps","Broad_Jump","Agility_3cone","Shuttle","BMI","Player_Type","Position_Type","Position","Drafted","Age_imp","Agility_3cone_imp","Shuttle_imp","Bench_Press_Reps_imp","Broad_Jump_imp","Vertical_Jump_imp","Sprint_40yd_imp","Id"
2009,20,1.85,106.6,4.38,85.09,25,325.12,7.13,4.36,31.00419426,"offense","backs_receivers","RB",1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
2009,22,1.88,118.4,4.84,83.82,27,292.1,7.38,4.45,33.5100731,"defense","defensive_lineman","DE",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
2009,24,2.01,165.1,5.5,63.66,21,236.59,8.15,5.01,41.0058207,"offense","offensive_lineman","OG",1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,3
2009,23,1.8,92.1,4.49,93.98,15,304.8,7.09,4.23,28.31246274,"defense","defensive_back","FS",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4
2009,22,1.88,110.7,4.76,92.71,26,304.8,7.1,4.4,31.32742466,"defense","line_backer","OLB",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5
2009,23,1.93,139.3,5.28,71.49,29,255.27,7.77,4.75,37.36882981,"offense","offensive_lineman","OG",1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,6
2009,24,1.88,135.6,4.98,77.58,29,268.75,7.56,4.61,38.38893432,"defense","defensive_lineman","DT",1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,7
2009,21,2.03,140.2,5.32,55.88,19,238.76,7.87,4.88,33.94507814,"offense","offensive_lineman","OT",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8
2009,23,1.88,120.7,4.53,88.9,28,304.8,7.46,4.43,34.15202852,"defense","defensive_lineman","DE",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9
2009,22,1.78,82.1,4.44,87.63,14,279.4,6.93,4.16,25.97052937,"defense","defensive_back","CB",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10
2009,23,1.83,100.2,4.49,93.98,16,312.42,6.81,4.26,29.97268077,"defense","defensive_back","SS",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11
2009,21,1.88,137.9,5.32,83.82,29,266.83,7.59,4.63,39.03088974,"defense","defensive_lineman","DT",1,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,12
2009,22,1.93,140.2,5.16,77.47,21,261.62,7.81,4.6,37.61227495,"offense","offensive_lineman","OT",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13
2009,23,1.93,116.1,4.78,74.93,17,287.02,7.28,4.56,31.1609786,"offense","backs_receivers","TE",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14
2009,23,1.85,108.4,4.6,86.36,20,304.8,7.08,4.32,31.53192523,"defense","line_backer","ILB",1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,15
2009,23,1.78,81.2,4.35,92.71,15,307.34,6.77,4.1,25.6835622,"defense","defensive_back","CB",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16
2009,23,1.93,119.3,4.79,82.55,24,274.32,7.52,4.47,32.01303661,"defense","defensive_lineman","DE",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,17
2009,22,1.75,98,4.34,101.6,27,297.18,6.99,4.29,31.89729662,"offense","backs_receivers","RB",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18
2009,20,1.93,112.9,4.64,96.52,22,314.96,7.52,4.38,30.30892059,"defense","defensive_lineman","DE",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19
2009,23,1.96,108.9,4.52,83.82,19,292.1,6.96,4.46,28.45955458,"offense","backs_receivers","TE",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20
2009,22,1.91,138.3,5.33,77.47,23,261.62,7.77,4.52,38.12199499,"offense","offensive_lineman","OG",1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,21
2009,22,1.78,93.9,4.68,89.55,19,298.33,7,4.23,29.70110265,"defense","defensive_back","CB",1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,22
2009,21,1.8,84.8,4.66,92.58,18,307.33,6.84,4.15,26.08093858,"defense","defensive_back","CB",1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,23
2009,22,1.93,140.6,5.19,77.47,30,251.46,7.56,4.51,37.73399752,"offense","offensive_lineman","C",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24
2009,22,1.88,106.1,4.83,80.01,15,276.86,7.05,4.37,30.04351381,"defense","line_backer","OLB",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25
2009,21,1.85,116.1,4.65,80.01,26,289.56,7.55,4.53,33.77478183,"defense","defensive_lineman","DE",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26
2009,22,1.83,111.1,4.58,86.36,30,284.48,7.31,4.49,33.22763253,"offense","backs_receivers","FB",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,27
2009,21,1.83,94.3,4.43,100.33,14,299.72,6.89,4.22,28.2095819,"offense","backs_receivers","RB",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28
2009,23,1.91,136.5,4.96,62.23,24,246.38,7.44,4.73,37.6220344,"defense","defensive_lineman","DT",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29
2009,20,1.73,82.6,4.41,95.25,19,307.34,7.15,4.2,27.67272134,"defense","defensive_back","CB",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30
2009,24,1.85,89.8,4.43,91.44,12,312.42,6.6,3.98,26.12268282,"defense","defensive_back","CB",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31
2009,22,1.96,149.2,5.32,68.48,27,247.95,7.91,4.85,39.01330607,"offense","offensive_lineman","OG",1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,32
2009,22,1.96,130.6,4.81,90.17,28,302.26,7.7,4.56,34.1514655,"defense","defensive_lineman","DE",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33
2009,22,1.85,108.4,4.51,93.98,30,287.02,6.98,4.12,31.53192523,"defense","line_backer","OLB",1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34
2009,22,1.8,83.9,4.34,88.9,14,309.88,6.81,4.15,25.80199806,"offense","backs_receivers","WR",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,35
2009,21,1.75,87.1,4.56,100.33,17,299.72,7.01,4.28,28.35315255,"defense","defensive_back","CB",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36
2009,21,1.85,95.3,4.44,87.63,17,294.64,6.95,4.4,27.70587572,"offense","backs_receivers","WR",1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,37
2009,22,1.93,150.6,5.28,67.85,29,245.43,7.95,4.86,40.41189412,"offense","offensive_lineman","OT",1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,38
2009,22,1.93,136.5,5.14,78.74,26,251.46,7.69,4.79,36.63849437,"offense","offensive_lineman","C",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39
2009,22,1.98,110.7,4.83,85.4,19,292.8,7.08,4.36,28.19674185,"offense","backs_receivers","TE",1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,40
2009,25,1.78,90.7,4.44,91.44,21,317.5,6.82,4.08,28.69671754,"offense","backs_receivers","RB",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,41
2009,22,2.01,120.7,4.61,97.79,28,325.12,7.42,4.37,29.96579205,"defense","defensive_lineman","DE",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42
2009,23,1.85,87.5,4.5,96.52,23,322.58,7.05,4.01,25.46301912,"defense","defensive_back","CB",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,43
2009,22,1.88,112.9,4.91,86.05,23,210.82,7.13,4.35,31.96938008,"defense","line_backer","ILB",1,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,44
2009,23,1.85,99.8,4.87,78.57,17,278.71,7.44,4.53,29.02520314,"special_teams","kicking_specialist","P",1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,45
